"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","mu","lower95","upper95","lower50","upper50","n_targets","cost_caloric_adequacy","nutrient_adequacy","portion_adq33","usd_adq33"
"Congo DR","Middle Africa","Africa","Low income","Auchenoglanis occidentalis","Freshwater catfishes","Inland","Small-scale",188.39,4.15076952535478,3.57634249201618,4.69447739788879,3.96426391854561,4.34752302381276,4,63.4828331563593,28.7760600782557,114.678659657568,72.8012621763627
"Malawi","Eastern Africa","Africa","Low income","Aulonocara gertrudae","Tilapias and other cichlids","Inland","Small-scale",367.97375,2.42341379796962,1.8430953091802,3.00847498684342,2.24302213575473,2.64731973251303,4,11.2843160109251,41.1079253646007,80.2764909863763,9.05865292538453
"Peru","South America","Americas","Upper middle income","Auxis rochei","Tunas, bonitos, billfishes","Marine","Small-scale",374.7592,2.35905274208015,1.97015832751762,2.78902862321072,2.23710762627387,2.51190762977333,4,10.5809238399092,40.2082097318355,82.0727911540706,8.68405952529997
"Turkey","Western Asia","Asia","Upper middle income","Auxis rochei","Tunas, bonitos, billfishes","Marine","Small-scale",10.4906,3.92330224750355,3.49420350466481,4.308717785707,3.7916929587695,4.06400744080387,4,50.5671546281096,40.2082097318355,82.0727911540706,41.5018752104843
"Ghana","Western Africa","Africa","Lower middle income","Auxis thazard","Tunas, bonitos, billfishes","Marine","Small-scale",12738.1705,2.96999206172211,2.5946278081874,3.36555538527975,2.84516920419828,3.10918949718232,4,19.4917648643708,30.9783016436143,106.526175578132,20.7638316626964
"Maldives","Southern Asia","Asia","Upper middle income","Auxis thazard","Tunas, bonitos, billfishes","Marine","Small-scale",364.14,3.0598741784926,2.65939524529271,3.48029213848493,2.92284896129927,3.20174158060819,4,21.3248738654474,30.9783016436143,106.526175578132,22.7165725757218
"Philippines","South-Eastern Asia","Asia","Lower middle income","Auxis thazard","Tunas, bonitos, billfishes","Marine","Small-scale",18542.6664786667,2.84687059607635,2.45929545327951,3.2249998485817,2.70221503734873,2.96595292292538,4,17.2337659510951,30.9783016436143,106.526175578132,18.3584717757879
"Brazil","South America","Americas","Upper middle income","Bagre bagre","Miscellaneous coastal fishes","Marine","Small-scale",4.65,3.25419664200619,2.69857899129561,3.78415036096293,3.04242803938899,3.41820470961174,4,25.8988001662803,30.7265431009408,107.398999918704,27.8150523695288
"Mexico","North America","Americas","Upper middle income","Bagre marinus","Miscellaneous coastal fishes","Inland","Small-scale",24.6541,2.92664701251823,2.44863023066702,3.39970467172669,2.74928755226984,3.07767326891268,3,18.6649421414208,30.1002524283388,109.633632071906,20.4630539937594
"Mexico","North America","Americas","Upper middle income","Bagre marinus","Miscellaneous coastal fishes","Marine","Small-scale",3104.096884,2.90263263866573,2.43121831812742,3.37886349500947,2.74130021241242,3.07201159736978,3,18.2220543631233,30.1002524283388,109.633632071906,19.9775000364093
"Mexico","North America","Americas","Upper middle income","Bagre pinnimaculatus","Miscellaneous coastal fishes","Marine","Small-scale",2.977,3.00670834840087,2.48853688771672,3.56675980778,2.84612209049385,3.21678443658658,4,20.2207306590299,28.9150304973787,114.127495051377,23.0774133822366
