"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","mu","lower95","upper95","lower50","upper50","n_targets","cost_caloric_adequacy","nutrient_adequacy","portion_adq33","usd_adq33"
"Gambia","Western Africa","Africa","Low income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",9.6,2.76417487755964,2.34277903808398,3.1743771935634,2.63811650065211,2.92465099020569,4,15.8659432423396,32.1762882226943,102.559996266831,16.272110797041
"Guinea","Western Africa","Africa","Low income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",96.518344225,2.06116547034474,1.65022891287818,2.49858510227985,1.92549223596148,2.21535509876189,4,7.85511938620213,32.1762882226943,102.559996266831,8.05621014924401
"Senegal","Western Africa","Africa","Lower middle income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",630.616666666667,2.98284572983866,2.57516107447052,3.39898544326309,2.83375638920843,3.11892704330208,4,19.7439226454435,32.1762882226943,102.559996266831,20.2493663280928
"Egypt","Northern Africa","Africa","Lower middle income","Alestes dentex","Miscellaneous freshwater fishes","Inland","Small-scale",3669.5,2.98161765107819,2.51640931145549,3.43087153907818,2.82403378763422,3.13491754275818,4,19.7196904359708,32.0532203214707,102.953773970396,20.3021655191112
"Guinea","Western Africa","Africa","Low income","Alestes dentex","Miscellaneous freshwater fishes","Inland","Small-scale",96.518344225,1.91874948981936,1.45597949103797,2.36426313184848,1.77818594861966,2.09057762933467,4,6.81243412228538,32.0532203214707,102.953773970396,7.01365802813982
"Senegal","Western Africa","Africa","Lower middle income","Alestes dentex","Miscellaneous freshwater fishes","Inland","Small-scale",357.0825,2.84114776932119,2.38842236137682,3.28923734329488,2.68585639103497,2.99638510959728,4,17.1354217659884,32.0532203214707,102.953773970396,17.6415633938298
"Chad","Middle Africa","Africa","Low income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",4.32,3.96681264642842,3.39110712539892,4.52777772529133,3.79031372061357,4.19788673177294,5,52.8159192611711,30.8589355685442,106.938231640233,56.4804100824295
"Mexico","North America","Americas","Upper middle income","Algansea popoche","Carps, barbels and other cyprinids","Marine","Small-scale",0.66225,2.27056246630765,1.69994475713367,2.83966336510182,2.09826378447747,2.48187575500516,5,9.68484668232416,38.5684432920303,85.5621777372047,8.28656573190598
"Maldives","Southern Asia","Asia","Upper middle income","Mixed","Sharks, rays, chimaeras","Marine","Small-scale",9,3.07744710148633,2.8284916715107,3.32489690664824,2.99645010098802,3.17076450304319,2,21.7029262456806,24.2257871159514,136.218484221184,29.5633971635077
"Mexico","North America","Americas","Upper middle income","Mixed","Sharks, rays, chimaeras","Marine","Small-scale",0.189,2.93054062420873,2.80027363295054,3.06246594632974,2.88423095289128,2.97451615128014,2,18.7377578443895,24.2257871159514,136.218484221184,25.5242897126635
"Mexico","North America","Americas","Upper middle income","Alopias pelagicus","Sharks, rays, chimaeras","Marine","Small-scale",129.530964275,2.75258292853863,2.27104306216166,3.24111975259726,2.57470613978919,2.90538302490425,2,15.6830879095205,23.4269107341188,140.863643416453,22.0917690295558
"Mexico","North America","Americas","Upper middle income","Alopias superciliosus","Sharks, rays, chimaeras","Marine","Small-scale",184.04254269,2.74188258772261,2.28234428456012,3.24788350412178,2.59293284843683,2.92806187134959,2,15.5161681655675,24.7341109766252,133.418985752859,20.7015141942082
"Peru","South America","Americas","Upper middle income","Alopias vulpinus","Sharks, rays, chimaeras","Marine","Small-scale",565.4,2.48079770098147,1.94899095463225,3.04054343144028,2.24984336430538,2.62479301475386,2,11.9507937764793,24.5163396371102,134.604106846554,16.0862592239035
"Mexico","North America","Americas","Upper middle income","Aluterus scriptus","Reef-associated fishes","Marine","Small-scale",4.41847142857143,3.16763777035854,2.60464223337115,3.6807955357752,2.97108631334326,3.34156831422571,3,23.7513119833366,18.8848638101605,174.743118784077,41.5037833118186
"Congo DR","Middle Africa","Africa","Low income","Ameiurus melas","Freshwater catfishes","Marine","Small-scale",269.825,4.01283032225809,3.46287342460992,4.56753074851057,3.82048478800025,4.19959520736951,3,55.3031750704037,29.87520379265,110.459497545315,61.0876093093738
"Peru","South America","Americas","Upper middle income","Anchoa nasus","Herrings, sardines, anchovies","Marine","Small-scale",9670.091,1.67399411432106,1.13905390748093,2.23743681593119,1.46151525855477,1.8379643237664,4,5.33342763149702,45.4396203546158,72.6238461995597,3.87334028026322
"Sri Lanka","Southern Asia","Asia","Lower middle income","Mixed","Carps, barbels and other cyprinids","Inland","Small-scale",63721,3.83782949011385,3.3614981083258,4.3472249690938,3.66477362466737,4.0042958218643,5,46.4245999516993,30.8589355685442,106.938231640233,49.6456462343997
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",8.45525,3.18856295433539,3.10616441595967,3.2735922037981,3.16044806132872,3.21870714757461,3,24.2535489307471,25.2420430353282,130.734267245381,31.707699475612
"Mexico","North America","Americas","Upper middle income","Anisotremus davidsonii","Miscellaneous coastal fishes","Marine","Small-scale",0.7,3.22363416239634,2.70445204961786,3.74237660385593,3.03043173534111,3.38191992426431,3,25.1192419098435,25.6254417425648,128.778267830543,32.3481246236603
"Mexico","North America","Americas","Upper middle income","Anisotremus interruptus","Reef-associated fishes","Marine","Small-scale",265.11856795,3.09440137883077,2.58839232598101,3.64788100194397,2.92704147173409,3.28872329935914,4,22.0740206056488,24.8922764486986,132.57124179868,29.263803231805
"Brazil","South America","Americas","Upper middle income","Anisotremus surinamensis","Reef-associated fishes","Marine","Small-scale",89,2.3672281776971,1.74819189689708,2.96618562684245,2.17145102635321,2.58329233762101,3,10.6677820696794,17.543019644132,188.109006712754,20.0670588895552
"Peru","South America","Americas","Upper middle income","Anodus elongatus","Miscellaneous freshwater fishes","Inland","Small-scale",226.768,2.5551450583525,2.00976449794332,3.08685917777623,2.41007522191786,2.78463320614905,4,12.87316688247,33.4720595790081,98.5896906705314,12.6916154089284
"Mexico","North America","Americas","Upper middle income","Anoplopoma fimbria","Miscellaneous demersal fishes","Marine","Small-scale",20.05997472125,3.10625520831161,2.54946301586459,3.6260014763344,2.94196524230805,3.30948469011166,2,22.3372392743363,24.8941538044638,132.561244134688,29.6105222874025
"Egypt","Northern Africa","Africa","Lower middle income","Aphareus rutilans","Reef-associated fishes","Marine","Small-scale",98.2,3.38422476808704,2.89081050254699,3.88120204823774,3.20717476679587,3.53795720069192,4,29.4951182938281,24.7646302871059,133.254563534437,39.3035911464066
"Mexico","North America","Americas","Upper middle income","Apsilus dentatus","Reef-associated fishes","Marine","Small-scale",0.120633333333333,3.32022941666303,2.78907681037506,3.84355000490004,3.14614689254105,3.50156538533806,4,27.6666970318056,24.8272366051166,132.918538316903,36.7741692952419
"Senegal","Western Africa","Africa","Lower middle income","Apsilus fuscus","Miscellaneous coastal fishes","Marine","Small-scale",242.506,3.35637600183561,2.81749797438515,3.88535919417277,3.15543158057661,3.51963965702028,3,28.6850477256199,26.5119619982043,124.472115651928,35.7048857798442
"Brazil","South America","Americas","Upper middle income","Arapaima gigas","Miscellaneous freshwater fishes","Inland","Small-scale",44.876,3.54460222739989,3.07021840870304,4.07641948014087,3.3685482538279,3.71280242324549,3,34.6259093645902,25.0124581932898,131.934253502733,45.6834350387048
"Peru","South America","Americas","Upper middle income","Arapaima gigas","Miscellaneous freshwater fishes","Inland","Small-scale",728.82,2.79401841068495,2.30274091680673,3.32131645371392,2.62164361611662,2.96476879154975,3,16.3465752518687,25.0124581932898,131.934253502733,21.5667320318153
"Mexico","North America","Americas","Upper middle income","Archosargus probatocephalus","Reef-associated fishes","Inland","Small-scale",113.9303256475,3.21108647621803,2.71734070531745,3.6659301520612,3.04622453795122,3.3750780797762,3,24.8060227427686,25.3119943846476,130.372974561085,32.3403497200467
"Mexico","North America","Americas","Upper middle income","Archosargus probatocephalus","Reef-associated fishes","Marine","Small-scale",569.906110625,3.20261007774493,2.72303150751856,3.6740934018948,3.05010790529553,3.37848966902694,3,24.5966456449565,25.3119943846476,130.372974561085,32.0673785695794
"Mexico","North America","Americas","Upper middle income","Archosargus rhomboidalis","Reef-associated fishes","Inland","Small-scale",0.06,2.57268539415027,2.0606505622152,3.04664347576052,2.3900719328071,2.72762869556843,3,13.1009584827182,23.8160088446949,138.562259592672,18.1529841019522
"Mexico","North America","Americas","Upper middle income","Archosargus rhomboidalis","Reef-associated fishes","Marine","Small-scale",77.4238074775,2.53611533441789,2.00076591457762,2.99098283076049,2.36669992300968,2.70000150060978,3,12.6305102377471,23.8160088446949,138.562259592672,17.5011203835062
"South Africa","Southern Africa","Africa","Upper middle income","Argyrosomus inodorus","Miscellaneous coastal fishes","Marine","Small-scale",285.2,4.33281571348133,3.77109239869699,4.89344230262458,4.14775976728769,4.53884012361479,3,76.1584252558253,30.0261343660897,109.904257396746,83.7013517224705
"Egypt","Northern Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Inland","Small-scale",129.2,3.62202299935024,3.33608226977627,3.91236631718854,3.52506491912102,3.72349663162395,3,37.4131781515345,28.9690594910493,113.914640584711,42.6190874226382
"Egypt","Northern Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",615,3.61473828252774,3.32826969098751,3.90348050860147,3.51074833090942,3.70988692731347,3,37.1416240415488,28.9690594910493,113.914640584711,42.309747534255
"Gambia","Western Africa","Africa","Low income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",49.025,3.23199773494938,2.95445021131557,3.52213167369524,3.12568595626606,3.32147811282726,3,25.3302095036701,28.9690594910493,113.914640584711,28.8548171154601
"Ghana","Western Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",124.186333333333,3.48582901223996,3.17647063970344,3.78123388277683,3.39070161865239,3.59651459327192,3,32.649482714395,28.9690594910493,113.914640584711,37.1925408868704
"Guinea Bissau","Western Africa","Africa","Low income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",8.186,2.49297118623887,2.15609742810358,2.83134140580316,2.37784100414148,2.61772612227717,3,12.0971657090002,28.9690594910493,113.914640584711,13.7804428383445
"Mauritania","Western Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",1978.7,3.09686152713866,2.78663423022423,3.40756639098462,3.00219605683035,3.21956951603561,3,22.1283928245281,28.9690594910493,113.914640584711,25.2074791532341
"Senegal","Western Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",567.94,3.45932403883385,3.18959459562233,3.73886089440626,3.36572503223488,3.55746894368449,3,31.795476741444,28.9690594910493,113.914640584711,36.2197030522114
