"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","calcium","iron","selenium","zinc","vitamin_a","omega_3","protein","ca_rni","fe_rni","se_rni","zn_rni","vita_rni","om_rni","nutrient_density","lmat"
"Peru","South America","Americas","Upper middle income","Anodus elongatus","Miscellaneous freshwater fishes","Inland","Small-scale",226.768,163.190407137518,2.1908673355619,48.1276359517358,1.96622544828716,47.4585130951827,0.301868979097625,18.0291462439141,16.3190407137518,7.45192971279556,100,40.127049965044,9.49170261903654,27.4426344634205,200.832357474048,18.7
"Mexico","North America","Americas","Upper middle income","Anoplopoma fimbria","Miscellaneous demersal fishes","Marine","Small-scale",40.1199494425,15.8793305254802,0.365675592774281,32.2191932080021,0.297133767613194,7.78673147596159,0.42803083955182,17.1873151969978,1.58793305254802,1.24379453324585,100,6.06395444108558,1.55734629519232,38.9118945047109,149.364922826783,35.8
"Brazil","South America","Americas","Upper middle income","Mixed","Miscellaneous freshwater fishes","Inland","Large-scale",1.435,73.6675129408603,1.17029048289351,52.8473334747705,1.68450487595013,23.2153839798745,0.234499463348514,17.876437738432,7.36675129408603,3.98057987378746,100,34.3776505295944,4.64307679597491,21.3181330316831,171.686191525126,38.1
"Egypt","Northern Africa","Africa","Lower middle income","Aphareus rutilans","Reef-associated fishes","Marine","Small-scale",98.2,21.734399464651,0.470193026724751,48.8315008896175,0.736506426323451,84.9422575678391,0.140754359448764,19.2067642899989,2.1734399464651,1.59929600926786,100,15.0307433943561,16.9884515135678,12.7958508589786,148.587781722635,42.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aphareus rutilans","Reef-associated fishes","Marine","Large-scale",15765.1595016666,21.734399464651,0.470193026724751,48.8315008896175,0.736506426323451,84.9422575678391,0.140754359448764,19.2067642899989,2.1734399464651,1.59929600926786,100,15.0307433943561,16.9884515135678,12.7958508589786,148.587781722635,42.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aphareus rutilans","Reef-associated fishes","Marine","Small-scale",2323.78764416818,21.734399464651,0.470193026724751,48.8315008896175,0.736506426323451,84.9422575678391,0.140754359448764,19.2067642899989,2.1734399464651,1.59929600926786,100,15.0307433943561,16.9884515135678,12.7958508589786,148.587781722635,42.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aprion virescens","Reef-associated fishes","Marine","Large-scale",283.211,18.0003079911801,0.540202494795092,37.0457023561836,1.40216223326239,101.110196293448,0.155825665657178,19.2483021923697,1.80003079911801,1.83742345168399,100,28.6155557808652,20.2220392586897,14.165969605198,166.641018895555,39.5
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aprion virescens","Reef-associated fishes","Marine","Small-scale",13.1171044880055,18.0003079911801,0.540202494795092,37.0457023561836,1.40216223326239,101.110196293448,0.155825665657178,19.2483021923697,1.80003079911801,1.83742345168399,100,28.6155557808652,20.2220392586897,14.165969605198,166.641018895555,39.5
"Mexico","North America","Americas","Upper middle income","Apsilus dentatus","Reef-associated fishes","Marine","Small-scale",0.120633333333333,41.8627177350797,0.698572311250234,49.7294390274308,0.853134437812347,54.6456409911783,0.154671181148626,19.3911518202887,4.18627177350797,2.3760962967695,100,17.4109068941295,10.9291281982357,14.0610164680569,148.9634196307,34.9
"Senegal","Western Africa","Africa","Lower middle income","Apsilus fuscus","Miscellaneous coastal fishes","Marine","Small-scale",242.506,64.8894203684762,0.944611781851994,39.8016404737479,0.658021250610864,11.0930616493768,0.37094471989961,19.3468712598171,6.48894203684762,3.21296524439454,100,13.4290051145074,2.21861232987535,33.7222472636009,159.071771989226,41.5
"Brazil","South America","Americas","Upper middle income","Arapaima gigas","Miscellaneous freshwater fishes","Inland","Small-scale",44.876,38.2397537798545,0.807969471522751,124.898825896344,0.643104097271641,18.4456367163032,0.293577652977576,16.5921716211553,3.82397537798545,2.7481954813699,100,13.124573413707,3.68912734326064,26.688877543416,150.074749159739,118.1
"Peru","South America","Americas","Upper middle income","Arapaima gigas","Miscellaneous freshwater fishes","Inland","Small-scale",728.82,38.2397537798545,0.807969471522751,124.898825896344,0.643104097271641,18.4456367163032,0.293577652977576,16.5921716211553,3.82397537798545,2.7481954813699,100,13.124573413707,3.68912734326064,26.688877543416,150.074749159739,118.1
"Mexico","North America","Americas","Upper middle income","Archosargus probatocephalus","Reef-associated fishes","Inland","Small-scale",227.860651295,30.0757475703192,1.02536473996497,22.2445395699814,0.929958070174898,22.1547591573461,0.400522617004534,19.627109104983,3.00757475703192,3.48763516994889,85.5559214230052,18.9787361260183,4.43095183146923,36.4111470004122,151.871966307886,26.9
